,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
0,"(2, (0, 1), (50, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8589341692789969,0.7766544635313997,0.8528722978824456,0.8589341692789969,0.7495968084203378,0.8589341692789969,0.8589341692789969,0.7608270893309332,0.8546690977001546,0.8589341692789969
1,"(2, (0, 1), (50, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.786833855799373,0.6379440665154951,0.7715081853012887,0.786833855799373,0.6246741120690701,0.786833855799373,0.7868338557993731,0.6294784580498866,0.7776981639050604,0.786833855799373
2,"(2, (0, 1), (50, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.780564263322884,0.6206391647568118,0.7913935594186378,0.780564263322884,0.6216698800732414,0.780564263322884,0.780564263322884,0.603665397783045,0.7763979315703454,0.780564263322884
3,"(2, (0, 1), (50, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7774294670846394,0.6317926335829477,0.777639557559269,0.7774294670846394,0.628533231474408,0.7774294670846394,0.7774294670846394,0.6195907088994987,0.7715466944498587,0.7774294670846394
4,"(2, (0, 1), (50, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7711598746081505,0.6243155798904928,0.7984040469922965,0.7711598746081505,0.6287696896940594,0.7711598746081505,0.7711598746081505,0.6085128772205181,0.775076144663567,0.7711598746081505
5,"(2, (0, 1), (50, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8087774294670846,0.6947382901162391,0.7959598019897192,0.8087774294670846,0.6599397334691451,0.8087774294670846,0.8087774294670846,0.6722655808166497,0.7995905724220902,0.8087774294670846
6,"(2, (0, 1), (50, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8056426332288401,0.7295760842930653,0.7881495330835839,0.8056426332288401,0.6585694884014212,0.8056426332288401,0.8056426332288401,0.6847966772916063,0.7905711760436528,0.8056426332288401
7,"(2, (0, 1), (100, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7899686520376176,0.6353954053035147,0.7873598264707032,0.7899686520376176,0.6368213952247566,0.7899686520376176,0.7899686520376176,0.6256784474013521,0.7827861686246986,0.7899686520376176
8,"(2, (0, 1), (100, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8620689655172413,0.77902576489533,0.8600222615964744,0.8620689655172413,0.7614803497156438,0.8620689655172413,0.8620689655172413,0.7676206867724452,0.8597359574203639,0.8620689655172413
9,"(2, (0, 1), (100, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8244514106583072,0.7323379069141781,0.8201613698983657,0.8244514106583072,0.7214613117974462,0.8244514106583072,0.8244514106583072,0.72614258527302,0.8217550728767847,0.8244514106583072
10,"(2, (0, 1), (100, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8432601880877743,0.7213144517066086,0.8399307476386584,0.8432601880877743,0.7119908569488401,0.8432601880877743,0.8432601880877743,0.7090663574666815,0.8377105119345015,0.8432601880877743
11,"(2, (0, 1), (100, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8683385579937304,0.7879272543849135,0.8686568212534902,0.8683385579937304,0.7594037615046019,0.8683385579937304,0.8683385579937303,0.7623107538709553,0.8628344322525106,0.8683385579937304
12,"(2, (0, 1), (100, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8087774294670846,0.7081196581196582,0.794702998151274,0.8087774294670846,0.670365115743267,0.8087774294670846,0.8087774294670846,0.6858998792961057,0.7994855098569537,0.8087774294670846
13,"(2, (0, 1), (100, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.774294670846395,0.6369034919280279,0.7569987820644443,0.774294670846395,0.6163859483187214,0.774294670846395,0.774294670846395,0.6249709192185745,0.7642739206344347,0.774294670846395
14,"(2, (0, 1), (150, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8557993730407524,0.7526312898264118,0.8537836081360051,0.8557993730407524,0.7427061733784424,0.8557993730407524,0.8557993730407524,0.7449676290944388,0.8534217470859037,0.8557993730407524
15,"(2, (0, 1), (150, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,0.7105782384510156,0.8135495571931253,0.8181818181818182,0.699182703384384,0.8181818181818182,0.8181818181818182,0.70403050177563,0.8154234293584194,0.8181818181818182
16,"(2, (0, 1), (150, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8652037617554859,0.7614538427777874,0.8653731454493908,0.8652037617554859,0.7579456024834176,0.8652037617554859,0.8652037617554859,0.758264491921045,0.8645286650700229,0.8652037617554859
